#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277961e+02,  2.2655162823548954e-02,  2.9850264791017636e+01, -2.3684736621692244e-02,  3.5188109892451507e+01,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975069e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120804e-02, -2.6190755327597548e-01,  2.7433066213374896e-01, -7.8135596836134164e-02,  2.4034631019261440e+02, -1.1962993257454832e+02,  0.0000000000000000e+00, -6.5048935553577936e+00, -4.0887308265099336e+03,  9.9719356534688395e+03,  0.0000000000000000e+00
 1.0000000000000000e-02,  6.3351665409460918e+02,  2.0983199642666733e-02,  3.3648439966785062e+01, -2.4229419345664849e-02,  3.4748909135475792e+01,  5.1379892638952207e-01,  6.3439113146575972e+00, -5.1288448970432159e-02, -1.5000000249716266e+04,  1.0003008833148263e+01,  3.0000250324660054e+00,  6.5838665505556879e-02,  4.4949754758993382e-03,  2.4463666145692646e+00, -1.4582068790214588e+00,  2.7433066213374896e-01, -1.1066006461292313e-01,  2.1990265606006471e+02, -6.9770254307204141e+01,  0.0000000000000000e+00, -6.5048935553577936e+00, -4.0887308265099336e+03,  9.9719356534688395e+03,  0.0000000000000000e+00
 2.0000000000000000e-02,  6.3330171777561350e+02,  1.5759538925667574e-02,  3.7320481870494909e+01, -2.4347275873045877e-02,  3.4058149468327763e+01,  5.3739021944799592e-01,  1.2687764760316988e+01, -1.0187017180355154e-01, -1.5000001419517037e+04,  1.0006362831046129e+01,  3.3381042817333246e+00,  1.3090575786436806e-01,  3.0631301520022171e-03,  4.4409566338444151e+00, -1.6573126394200581e+00,  2.7433066213374896e-01, -1.5631795372506574e-01,  1.8154262177675881e+02, -1.2494991455427432e+01,  0.0000000000000000e+00, -2.6266842670707229e+00, -3.5832760301512558e+03,  1.4831169168865006e+03,  0.0000000000000000e+00
 2.9999999999999999e-02,  6.3306829112208709e+02,  6.0207363695698787e-03,  4.0848429062807725e+01, -2.3940250627393144e-02,  3.3162847553299400e+01,  5.7152721396458561e-01,  1.9031500325602273e+01, -1.5165743971304849e-01, -1.5000004083037338e+04,  1.0010032451848200e+01,  3.6682831048906506e+00,  1.9491585500969993e-01,  1.3686164013980240e-03,  6.0772190501044401e+00, -1.7081067081300074e+00,  2.7433066213374896e-01, -1.7105208264831276e-01,  1.4796810114200181e+02, -2.4610450456793553e+00,  0.0000000000000000e+00, -3.2014151757869203e-01, -3.1316280968001383e+03,  5.2367236506311474e+02,  0.0000000000000000e+00
 4.0000000000000001e-02,  6.3281941543027415e+02, -8.9098849075314769e-03,  4.4218498428155428e+01, -2.2907757205084065e-02,  3.2104312016856916e+01,  6.1356497407619615e-01,  2.5375051648296751e+01, -2.0057236080041499e-01, -1.5000008744948364e+04,  1.0013986181134248e+01,  3.9887389136522469e+00,  2.5764140326259016e-01, -3.5791150096403814e-04,  7.4003186566844512e+00, -1.7065335403336452e+00,  2.7433066213374896e-01, -1.6566030249855876e-01,  1.1865247659170051e+02,  1.4524623171722759e+00,  0.0000000000000000e+00,  1.3984975475294872e+00, -2.7314968132601157e+03,  2.5902910750721139e+02,  0.0000000000000000e+00
 5.0000000000000003e-02,  6.3255845076824551e+02, -2.9475283360102762e-02,  4.7420575407199536e+01, -2.1194351878427935e-02,  3.0918709195369249e+01,  6.6120411475810714e-01,  3.1718350927452772e+01, -2.4854484744282732e-01, -1.5000015847953409e+04,  1.0018191302653509e+01,  4.2980345444493313e+00,  3.1889674412355407e-01, -1.9445896485731514e-03,  8.4502685819384507e+00, -1.6790574617865619e+00,  2.7433066213374896e-01, -1.4529598866311044e-01,  9.3111651425803217e+01,  3.5304454570990078e+00,  0.0000000000000000e+00,  2.6743652195601797e+00, -2.3766682199193497e+03,  1.5656752047813478e+02,  0.0000000000000000e+00
 5.9999999999999998e-02,  6.3228885259921208e+02, -5.5920726210427575e-02,  5.0447742275724757e+01, -1.8784978580918599e-02,  2.9637556181897775e+01,  7.1247411177408482e-01,  3.8061332257693863e+01, -2.9551191711586439e-01, -1.5000025779148318e+04,  1.0022614740356405e+01,  4.5950695003765523e+00,  3.7853295161197498e-01, -3.2638312742262468e-03,  9.2625516852005152e+00, -1.6359246311916651e+00,  2.7433066213374896e-01, -1.1404733270523708e-01,  7.0920100140133073e+01,  4.8562884100544315e+00,  0.0000000000000000e+00,  3.5753659720144859e+00, -2.0616420372146740e+03,  1.0860107011295024e+02,  0.0000000000000000e+00
 7.0000000000000007e-02,  6.3201400697510144e+02, -8.8325506379936330e-02,  5.3295844421958797e+01, -1.5697496246160368e-02,  2.8288177401905585e+01,  7.6570106514792957e-01,  4.4403933795019491e+01, -3.4141709294564565e-01, -1.5000038875691036e+04,  1.0027223752850597e+01,  4.8790358929772282e+00,  4.3643337070450977e-01, -4.2255363026778934e-03,  9.8686705847411123e+00, -1.5819316935854733e+00,  2.7433066213374896e-01, -7.5386332095405614e-02,  5.1703341618196667e+01,  5.8154741446911560e+00,  0.0000000000000000e+00,  4.1568341499518038e+00, -1.7817096671726054e+03,  8.3236076814394679e+01,  0.0000000000000000e+00
 8.0000000000000002e-02,  6.3173711315084745e+02, -1.2663115503505643e-01,  5.5963094612363072e+01, -1.1975471840312533e-02,  2.6894126480347950e+01,  8.1947644917966356e-01,  5.0746099062851115e+01, -3.8620986628815634e-01, -1.5000055429877788e+04,  1.0031986492993612e+01,  5.1493787605221533e+00,  4.9250962833629897e-01, -4.7715579161343594e-03,  1.0296618517564449e+01, -1.5196151482978419e+00,  2.7433066213374896e-01, -3.2252193364369040e-02,  3.5130549478194801e+01,  6.5749215225351074e+00,  0.0000000000000000e+00,  4.4699935962555202e+00, -1.5328487608277735e+03,  6.8653398754394757e+01,  0.0000000000000000e+00
 8.9999999999999997e-02,  6.3146110426253654e+02, -1.7066647990852413e-01,  5.8449714473756536e+01, -7.6817457406037877e-03,  2.5475575050735799e+01,  8.7262811957137043e-01,  5.7087777633402126e+01, -4.2984520908789153e-01, -1.5000075693706549e+04,  1.0036872443479471e+01,  5.4057604281441289e+00,  5.4669805659306603e-01, -4.8705801699652738e-03,  1.0571281574305008e+01, -1.4504332631347712e+00,  2.7433066213374896e-01,  1.2910963210846026e-02,  2.0908253788292527e+01,  7.2169608753189767e+00,  0.0000000000000000e+00,  4.5626377187874922e+00, -1.3116103771526782e+03,  5.9754471802380110e+01,  0.0000000000000000e+00
